rank,title,genre,year,score,platform,age_group,gender,genre_detail,director,runtime,streaming,production,rating,broadcast_period,episodes,cast,country,language
25,약한영웅 Class 2,드라마,2025,73.6,"coupang, disney, netflix",50대,여성,학원 액션 드라마 범죄 스릴러 느와르 성장 하이틴 복수 사회고발 피카레스크,유수민,,,"쇼트케이크, 플레이리스트, 재담미디어",,2025년 4월 25일,8부작,박지훈려운최민영유수빈배나라이민재이준영,대한민국,
26,진격의 거인 The Final Season 완결편 (전편),애니메이션,2023,98.4,"coupang, disney, netflix, tving, watcha, wavve",50대,여성,,,,,,,,,,,
28,슬기로운 의사생활 시즌 2,드라마,2021,89.4,"coupang, disney, netflix, tving",50대,여성,,,,,,,,,,,
34,데블스 플랜: 데스룸,예능,2025,95.2,"coupang, disney, netflix",50대,여성,,,,,,,,,,,
35,이혼숙려캠프,예능,2024,73.7,"coupang, disney, netflix, tving",50대,여성,,,,,,,,,,,
36,미션 임파서블: 데드 레코닝,영화,2023,95.4,"coupang, disney, netflix",50대,여성,,크리스토퍼 매쿼리,,,스카이댄스 미디어TC 프로덕션스,,,,톰 크루즈헨리 처니사이먼 페그레베카 페르구손버네사 커비헤일리 앳웰폼 클레멘티프셰이 위검이사이 모랄레스,미국,영어
39,노트북,영화,2004,90.8,"coupang, disney, netflix, wavve",50대,여성,,,,,,,,,,,
44,레디 오어 낫,영화,2019,83.7,"coupang, disney, netflix",50대,여성,,맷 베티넬리올핀타일러 질렛,,,폭스 서치라이트 픽처스미솔로지 엔터테인먼트빈슨 필름스,,,,사마라 위빙애덤 브로디마크 오브라이언헨리 처니앤디 맥다월,미국,영어
52,더 글로리 파트 2,드라마,2023,96.9,"coupang, disney, netflix",50대,여성,,,,,,,,,,,
61,중증외상센터,드라마,2025,96.9,"coupang, disney, netflix",50대,여성,,,,,,,,,,,
67,태어난 김에 세계일주 3,예능,2023,92.6,"coupang, disney, netflix, wavve",50대,여성,여행 버라이어티,나성희 배준휘 유현철 정재호 류서현 고미혜 김나연 이미희 최성수 김민아 박혜빈 이은솔 조은빈 김연홍 최유나,105분,MBC 드라마넷MBC 에브리원MBC M더라이프채널SE채널,,,2023년 11월 26일 ~ 2024년 2월 4일,10부작,기안84 덱스 빠니보틀 이시언,대한민국,
89,악마를 보았다,영화,2010,86.9,"coupang, disney, netflix, tving, watcha, wavve",50대,여성,,김지운,,,,,,,이병헌최민식,대한민국,한국어
91,오징어 게임 시즌 2,드라마,2024,77.5,"coupang, disney, netflix",50대,여성,,,,,,,,,이정재 이병헌 위하준 임시완 강하늘 이진욱 박성훈 양동근 조유리 강애심 이서환 박규영,,
92,높은 풀 속에서,영화,2019,42.7,"coupang, disney, netflix",50대,여성,,빈첸초 나탈리,,,,,,,해리슨 길버트슨 라이즐라 디올리베라 레이철 윌슨 패트릭 윌슨,캐나다,영어
94,엑스테리토리얼,영화,2025,48.0,"coupang, disney, netflix",50대,여성,,,,,,,,,,,
37,신병 시즌 3,드라마,2025,95.9,"coupang, disney, tving",50대,여성,"블랙 코미디, 밀리터리, 사회고발",민진기,1시간 20분,"Genie TV, TVING","A22 엔터테인먼트, 스토리아일랜드",,2025년 4월 7일 ~ 2025년 4월 29일,8부작,김민호 김동준 오대환 남태우 이상진 김요한 조진세 이충구 전승훈 이수지 강효승 이정현 김현규,한국,
43,바니와 오빠들,드라마,2025,60.0,"coupang, disney, tving, wavve",50대,여성,"로맨틱 코미디, 캠퍼스, 역하렘, 청춘, 성장",정동건 박소영 권윤지 오승현,1시간 20분,,카카오엔터테인먼트,,2025년 4월 11일 ~ 2025년 5월 17일,12부작,노정의 이채민 조준영 김현진 홍민기 외,대한민국,
55,지지고 볶는 여행,예능,2025,66.7,"coupang, disney, tving",50대,여성,,,,,,,,,,,
58,더 샌드,영화,2016,11.8,"coupang, disney, tving, watcha, wavve",50대,여성,,아이작 거바이에프,,,,,,,딘 가이어 메건 홀더 미첼 무소,미국,영어
65,선재 업고 튀어,드라마,2024,93.0,"coupang, disney, tving",50대,여성,"로맨틱 코미디, 가족, 판타지, 청춘, 힐링, 스릴러",김태엽 윤종호,1시간 20분,"tvN DRAMA, NXT, 채널S",본팩토리,,2024년 4월 8일 ~ 2024년 5월 28일,16부작,변우석 김혜윤 이승협 송건희 외,대한민국,
73,뭉쳐야 찬다 4,예능,2025,20.0,"coupang, disney, tving",50대,여성,,,,,,,,,,,
75,"이재, 곧 죽습니다 part 2",드라마,2024,94.2,"coupang, disney, tving",50대,여성,,,,,,,,,,,
76,"이재, 곧 죽습니다 part 1",드라마,2023,93.7,"coupang, disney, tving",50대,여성,,,,,,,,,,,
81,언니네 산지직송2,예능,2025,28.6,"coupang, disney, tving",50대,여성,여행,김세희 김만희 김보나 김동준 정인혁 최승호 장연주 오상훈 손성민 안민범 김수정 염희주 최수빈 엄재현 이광복 안상훈 최믿음 최해인 양인영,80분,"tvN STORY, tvN SHOW",,,2025년 4월 13일 ~현재,13부작,,대한민국,
86,샤크: 더 비기닝,영화,2021,58.5,"coupang, disney, tving",50대,여성,,채여준,,,,,,,김민석 위하준 정원창,한국,한국어
3,야당,영화,2025,90.4,"boxoffice, coupang, disney",50대,여성,,,,,,,,,,,
4,파과,영화,2025,85.4,"boxoffice, coupang, disney",50대,여성,,민규동,,,수필름,,,,이혜영 김성철 연우진 김무열 신시아,대한민국,한국어
7,알라딘,영화,2019,93.0,"coupang, disney",50대,여성,,가이 리치,,,월트 디즈니 픽처스라이드백마크 플랫 프로덕션스,,,,미나 마수드나오미 스콧윌 스미스마르반 켄자리나비드 네가반나심 페드라드빌리 매그너슨누만 아자르,미국,영어
10,미션 임파서블 : 고스트 프로토콜,영화,2011,98.2,"coupang, disney, wavve",50대,여성,,브래드 버드,,,배드 로봇 프로덕션스TC 프로덕션스필름 워크스스카이댄스 프로덕션스스틸킹 프로덕션,,,,톰 크루즈제러미 레너사이먼 페그폴라 패튼,미국,영어
11,미션 임파서블,영화,1996,98.8,"coupang, disney, wavve",50대,여성,,,,,,,,,,,
13,거룩한 밤: 데몬 헌터스,영화,2025,17.9,"boxoffice, coupang, disney",50대,여성,,임대희[1],,,빅펀치픽쳐스노바필름,,,,마동석서현이다윗경수진정지소,대한민국,한국어
15,미션 임파서블: 파이널 레코닝,영화,2025,80.0,"boxoffice, coupang, disney",50대,여성,,크리스토퍼 매쿼리,,,스카이댄스 미디어TC 프로덕션스,,,,톰 크루즈헤일리 앳웰빙 레임스사이먼 페그버네사 커비이사이 모랄레스폼 클레멘티프앤절라 배싯헨리 처니,미국,영어
18,썬더볼츠*,영화,2025,96.2,"boxoffice, coupang, disney",50대,여성,,제이크 슈라이어,,,마블 스튜디오,,,,세바스티안 스탄 해나 존카먼 와이엇 러셀 줄리아 루이드라이퍼스 플로렌스 퓨 데이비드 하버 올가 쿠릴렌코 해리슨 포드 루이스 풀먼,미국,영어
27,A MINECRAFT MOVIE 마인크래프트 무비,영화,2025,63.8,"boxoffice, coupang, disney",50대,여성,,재러드 헤스[1],,,"레전더리 엔터테인먼트
모장 스튜디오
버티고 엔터테인먼트
도메인 엔터테인먼트
온 더 롬",,,,잭 블랙 제이슨 모모아 엠마 마이어스 대니엘 브룩스 서배스천 유진 핸슨 제니퍼 쿨리지,미국,영어
30,24시 헬스클럽,드라마,2025,66.7,"coupang, disney, watcha, wavve",50대,여성,"로맨틱 코미디, 성장",박준수 최연수,70분,"KBS 드라마, TLC","CJ ENM 스튜디오스, 본팩토리, 몬스터유니온, 키이스트",,2025년 4월 30일 ~ 2025년 6월 5일,12부작,이준영 정은지 외,한국,
31,디어엠,드라마,2025,85.7,"coupang, disney, watcha, wavve",50대,여성,"청춘, 로맨스",박진우 서주완,70분,KBS Drama,"플레이리스트, 몬스터유니온",,2025년 4월 14일 ~ 2025년 5월 20일,12부작,박혜수 정재현 노정의 배현성 우다비 이진혁 외,,
32,바이러스,영화,2025,46.0,"boxoffice, coupang, disney",50대,여성,,,,,,,,,,,
33,해피엔드,영화,2024,97.3,"boxoffice, coupang, disney",50대,여성,,소라 네오,,,"작쿠발란
시네릭 크리에이티브
시네마 이누틸레
기린 픽처스
스파크 피처스
Sons of Rigor",,,,쿠리하라 하야토 히다카 유키토 하야시 유타 시나 펭 아라지 이노리 키라라 나카지마 아유무 야하기 마사루 푸심 와타나베 마키코 사노 시로,"일본
미국",일본어[1]
38,"미안하다, 사랑한다",드라마,2004,94.0,"coupang, disney, watcha, wavve",50대,여성,"멜로, 로맨스, 휴머니즘",이형민,70분,스카이 KBS 드라마KBS 프라임(이상 유료방송),,,2004년 11월 8일 ~ 2004년 12월 28일,16부작,소지섭 임수정 정경호 서지영 외,대한민국,
40,서브스턴스,영화,2024,94.3,"coupang, disney, watcha, wavve",50대,여성,,,,,,,,,,,
